popularity,tempo,energy,danceability
0,163.966,0.331,0.512
0,112.318,0.231,0.438
0,105.877,0.18,0.41
1,79.469,0.146,0.157
0,126.071,0.651,0.469
0,114.223,0.81,0.525
0,125.278,0.261,0.481
1,100.882,0.44,0.757
0,102.48,0.512,0.477
0,74.474,0.072,0.703
1,117.072,0.487,0.521
1,176.107,0.345,0.581
0,114.4,0.791,0.622
0,126.655,0.353,0.671
1,129.136,0.712,0.534
1,97.351,0.651,0.661
1,118.139,0.509,0.764
1,137.285,0.531,0.491
1,78.073,0.669,0.581
0,110.662,0.385,0.569
1,153.751,0.813,0.512
0,93.018,0.685,0.366
0,180.444,0.931,0.558
0,125.005,0.641,0.393
1,110.152,0.667,0.567
1,100.957,0.408,0.439
1,186.882,0.196,0.422
1,125.148,0.547,0.604
0,133.725,0.603,0.679
0,129.043,0.093,0.456
0,94.239,0.177,0.576
0,139.972,0.391,0.5
0,61.126,0.35,0.361
0,121.11,0.405,0.566
0,46.315,0.000628,0.307
1,111.43,0.48,0.472
0,106.518,0.341,0.747
0,77.834,0.195,0.576
1,109.586,0.463,0.556
1,130.556,0.536,0.62
0,120.638,0.646,0.521
0,107.436,0.63,0.315
0,130.306,0.278,0.553
1,160.967,0.571,0.502
0,136.151,0.455,0.785
1,83.267,0.337,0.317
0,97.807,0.172,0.387
1,120.749,0.832,0.708
0,127.78,0.209,0.311
1,96.663,0.216,0.526
0,129.008,0.331,0.354
1,125.046,0.473,0.674
0,79.8,0.483,0.53
0,99.074,0.737,0.619
1,123.911,0.698,0.586
1,108.191,0.413,0.697
0,178.867,0.142,0.196
0,128.44,0.543,0.598
0,83.656,0.474,0.326
0,109.889,0.434,0.373
1,105.646,0.588,0.633
0,102.025,0.161,0.664
1,128.438,0.775,0.571
0,103.533,0.151,0.511
0,121.884,0.39,0.493
1,147.997,0.829,0.52
0,137.954,0.471,0.537
1,81.892,0.38,0.583
0,98.794,0.247,0.22
1,128.359,0.643,0.517
0,89.119,0.257,0.507
0,104.142,0.437,0.526
0,65.145,0.201,0.132
0,155.862,0.406,0.463
0,120.463,0.276,0.527
0,130.308,0.679,0.638
1,126.763,0.768,0.497
0,175.488,0.695,0.323
0,125.317,0.361,0.746
0,141.52,0.727,0.462
0,145.903,0.601,0.647
1,121.894,0.571,0.486
0,115.782,0.622,0.57
0,126.996,0.405,0.502
1,95.533,0.366,0.485
0,130.509,0.141,0.707
0,130.648,0.283,0.584
0,103.458,0.364,0.402
1,154.984,0.548,0.291
0,124.687,0.587,0.663
0,167.73,0.584,0.45
0,133.149,0.783,0.694
1,95.363,0.41,0.543
1,116.722,0.563,0.711
0,86.627,0.496,0.251
0,94.639,0.51,0.764
1,105.947,0.445,0.636
1,131.72,0.585,0.567
1,82.353,0.5,0.612
